ordernum,dateordered,custid,agentid,prodid,quantityordered,totalusd
1011,2024-01-22,1,2,p01,1100,58794.00
1012,2023-01-23,4,3,p03,1200,76096.81
1015,2022-01-23,5,3,p05,1000,15771.20
1016,2021-01-23,8,3,p01,1000,60977.22
1017,2023-02-14,1,3,p03,500,25643.98
1018,2023-02-14,1,3,p04,600,8050.49
1019,2023-02-14,1,2,p02,400,16249.28
1020,2023-02-14,4,5,p07,600,585.18
1021,2023-02-14,4,5,p01,1000,66086.33
1022,2023-03-15,1,3,p06,450,31236.48
1023,2023-03-15,1,2,p05,500,6550.98
1024,2023-03-15,5,2,p01,880,56671.55
1025,2022-04-01,8,3,p07,888,799.11
1026,2022-05-04,8,5,p03,808,47277.29
